job_title,company_name,location,duration,job_type,job_status,level,years_of_experience,skills_required
Digital Marketing Executive,Golf Aviation Academy,"Dokki, Giza, Egypt",27 days ago,Full Time,On-site,Experienced, 1 - 3 ,Experienced · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · E-Marketing · excel · Marketing · Digital Marketing · Social Media · Research · Reporting
Software Testing,Cubic Information Systems,"New Cairo, Cairo, Egypt",27 days ago,Full Time,On-site,Experienced, 2 - 4 ,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Software · Software Testing · Agile · Automation · Software Development · Testing
1) Accountant - 2) internal Auditor -3) Cost Accountant - 4) Financial Accountant,Green Foods,"Sheraton, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 2 - 4 ,Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · Accounting · Auditing · Finance · Accounts Receivable
Supply and Demand Planning Manager,Bouri Group,"New Cairo, Cairo, Egypt",1 month ago,Full Time,On-site,Manager, 5 - 7 ,Manager · 5 - 7 Yrs of Exp · Logistics/Supply Chain · Analyst/Research · Purchasing/Procurement · Manufacturing · Production · Planning · Supply · Supply Chain · supply chain management · business
Software Tester - Fully Remote Job,Osus Group,"Cairo, Egypt",24 days ago,Full Time,Remote,Experienced, 1 - 5 ,Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · International Software Testing Qualifications Board · Software Testing · System Testing · Testing · Automation Testing · User Testing
Researcher (AI & Technology),Rehabitaire,"Maadi, Cairo, Egypt",28 days ago,Full Time,On-site,Experienced, 4+ ,Experienced · 4+ Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · AI · Computer Vision · NLP · Computer · Computer Science · Research · Internet Research
Tax Accountant,Beverlyhills,"Shorouk City, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 6 - 7 ,Experienced · 6 - 7 Yrs of Exp · Accounting/Finance · accountant · excel · Finance
Agricultural R&D Manager,Al Dahra Agriculture,"Abu Simbel, Aswan, Egypt",2 months ago,Full Time,On-site,Manager, 10 - 12 ,Manager · 10 - 12 Yrs of Exp · R&D/Science · Analyst/Research · Agriculture · R&D · Communication skills · Data Analysis · R&amp;D · Research · Science · Software
Production and demand planner food sector,Olio Food,"Obour City, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 4 - 6 ,Experienced · 4 - 6 Yrs of Exp · Operations/Management · Manufacturing/Production · Analyst/Research · Planning · Production · Production Planning · Supply Chain
Senior Salesforce Developer,WeAreProdigy,"Cairo, Egypt",1 month ago,Full Time,Remote,Experienced, 3 - 6 ,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · APEX · Apex Programming · Salesforce · Salesforce CRM · SOQL · RESTful API · Communication · computer · Computer Science
E Commerce Specialist,GT World OF Beauty,"Sheraton, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 2 - 3 ,Experienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · Marketing · Shopify · Social Media · Design · Web Design · Digital Marketing
R&D Formulation Specialist,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt",1 month ago,Full Time,On-site,Experienced, 2 - 4 ,Experienced · 2 - 4 Yrs of Exp · males_preferred · R&D/Science · Analyst/Research · Pharmaceutical · Pharmaceutical · Formulation · Research &Development · Pharmacy
Cost Accountant,Confidential,"Giza, Egypt",1 month ago,Full Time,On-site,Experienced, 1 - 2 ,Experienced · 1 - 2 Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Analyst/Research · accountant · Accounting · Accounting Software · analytical · Cost · Cost Accountant · Cost Accounting
Full Stack Developer,Mishkat Nour,"Nasr City, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 5 - 6 ,Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · developer · Full Stack Developer · Full Stack · Computer Science · Stack · Software Development · Information Technology (IT) · CSS
