job_title,company_name,location,duration,job_type,job_status,level,years_of_experience,skills_required
Operation Analyst,Etisal EG,"New Cairo, Cairo, Egypt",27 days ago,Full Time,On-site,Experienced, 2 - 3 ,Experienced · 2 - 3 Yrs of Exp · Business Development · Data Analysis · analytical · Operations
Financial Analyst / Reporting,Go Bus,"Katameya, Cairo, Egypt",4 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Financial Accounting · Financial Analysis · Transportation · finance
Senior Business Analyst,Awazel,"Sheraton, Cairo, Egypt",8 hours ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Operations/Management · Analyst/Research · SAP · Business Analysis · Communication skills · Project Management · Analysis
French Quality Analyst,Intouch CX,"Maadi, Cairo, Egypt",2 days ago,Full Time,On-site,Experienced, 2 - 5 ,Experienced · 2 - 5 Yrs of Exp · Customer Service/Support · Quality · Call Center · Communication skills · Quality Assurance · quality · french · English · Customer Support · Customer Service
MIS Analyst,FlexFilms Egypt,"6th of October, Giza, Egypt",11 days ago,Full Time,On-site,Entry Level, 0 - 3 ,Entry Level · 0 - 3 Yrs of Exp · Accounting/Finance · Analyst · Accounting · MIS
Mid-Level / Senior Business Analyst,GET Group- Egypt,"Sheraton, Cairo, Egypt",1 day ago,Full Time,Hybrid,Experienced, 3 - 8 ,Experienced · 3 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · analytical · Agile · Information Technology (IT) · Software · Research · Business Analysis · Computer Science
Financial Analyst,Confidential,"Jazan, Saudi Arabia",7 days ago,Full Time,On-site,Experienced, 2 - 5 ,Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Corporate Finance · Financial Forecasting · Financial Analysis · Accounting · Commerce · Finance · Forecasting · Reporting
Senior Cost Analyst,Nacita,"6th of October, Giza, Egypt",17 days ago,Full Time,On-site,Experienced, 4 - 6 ,Experienced · 4 - 6 Yrs of Exp · Accounting/Finance · Analyst · Accounting · business · SAP · Cost Analyst · Finance · Costing · analytical · Cost
Merchandising Analyst,le Voile,"Nozha, Cairo, Egypt",14 days ago,Full Time,On-site,Experienced, 3+ ,Experienced · 3+ Yrs of Exp · Fashion · Merchandising · Retail · Sales · Analysis · Fashion · ERP · MS Office · Business Administration
Financial Analyst,Confidential,"Zamalek, Cairo, Egypt",18 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Accounting · Financial Forecasting · Analysis · Finance · Financial Analysis · Reporting · Analyst
Senior Risk Rating Analyst,FinBi Finance & Banking Consultants International,"Dokki, Giza, Egypt",12 days ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Banking · Financial Analysis · financial institution · Finance · Accounting
Data Analyst,Distributors for Nestlè dry,"Qalyub, Qalubia, Egypt",2 months ago,Part Time,On-site,Entry Level, 1 - 3 ,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · Analyst · business · Data Analysis · Computer Science · Data · Data Analyst · Analysis · Information Technology (IT)
Financial Analyst/Intern,Intercap Capital,"Dokki, Giza, Egypt",15 days ago,Internship,On-site,Entry Level, 0 - 1 ,Entry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Accounting · Research · Analysis · Financial Analysis · Financial Reports
Financial Analyst (Equities),Blue Ventures,"Nasr City, Cairo, Egypt",17 days ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Accounting · Commerce · Economics
EDI analyst,Dora Management Solutions,"Sheraton, Cairo, Egypt",21 days ago,Full Time,Remote,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · EDI · Information Technology (IT) · Analyst · XML · Retail Business · B2B
Junior Business Analyst,JRM for Communications,"Nasr City, Cairo, Egypt",12 days ago,Full Time,Hybrid,Entry Level, 1 - 2 ,Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Analysis · Information Technology (IT) · Software Development · English · Business Administration · Computer Science
Senior Data Analyst,Tamweely,"Downtown, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · analytical · Analysis · Data Analysis · SQL · Computer Science
Senior Financial FP & A Analyst,London International Patient Services,"Heliopolis, Cairo, Egypt",18 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analysis · Finance · Financial Planning · English · ERP · Financial
Senior Real Estate Analyst – Land Valuation,Higher Ground Land Company,"Cairo, Egypt",1 month ago,Full Time,Remote,Entry Level, 1+ ,Entry Level · 1+ Yrs of Exp · Analyst/Research · Sales/Retail · Real Estate · Data Analysis · Valuation · Research Analysis · Business Analysis · Business Systems
System Analyst,SellEnvo,"Rotterdam, Netherlands",1 month ago,Full Time,Part Time,Experienced, 2+ ,Experienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Analyst · business · Business Analysis · Computer Science · Information Systems · Database · Data Analysis · System Analysis
Senior Actuarial Analyst – P&C,Allianz,"New Cairo, Cairo, Egypt",21 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Other · Actuarial · Insurance · P&C
Software Business Analyst,Safa Soft,"Maadi, Cairo, Egypt",26 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Agile · Analysis · business · Analyst · Business Administration · Business Analysis · Computer Science
Business Analyst,BTC-Egypt Gold,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · females_preferred · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Business Analysis · Communication skills · Computer Science · Data · Information Technology (IT)
Financial Analyst,Ghataty,"Cairo, Egypt",24 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Analysis · analytical · CFA · Commerce · Finance · Financial Modeling · Financial Analysis
Credit Analyst,CXDA,"Heliopolis, Cairo, Egypt",25 days ago,Full Time,On-site,Experienced, 3+ ,Experienced · 3+ Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · credit · Financial Analysis · Finance · English · Accounting · Financial Statements · Ratios
Sales Analyst,Alarabia Group,"10th of Ramadan City, Sharqia, Egypt",1 month ago,Full Time,On-site,Experienced, 4 - 8 ,Experienced · 4 - 8 Yrs of Exp · Business Development · Analyst/Research · Sales/Retail · excel · business · Power BI · Sales Analysis · MS Office · Computer Skills · Communication skills
Senior Software Business Analyst - On-site,Microwize,"Sheraton, Cairo, Egypt",27 days ago,Full Time,On-site,Experienced, 5 - 8 ,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Communication skills · Computer Science · Information Technology (IT) · IT · Team Player · English · Software
Junior Data Analyst,Etqan Consultancy,"Cairo, Egypt",2 months ago,Full Time,On-site,Entry Level, 1 - 3 ,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analyst · Analysis · Computer Science · Data Analysis · Data Analyst · Information Technology (IT) · SQL · Data
Financial Analyst and Reporting,Bahna Engineering,"Zamalek, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 3 - 7 ,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Analysis · Accounting · Financial Analysis · Financial Management · Finance · analytical
ERP System Analyst (Full Stack),Xceed Contact Center,"Maadi, Cairo, Egypt",28 days ago,Full Time,On-site,Entry Level, 0 - 1 ,Entry Level · 0 - 1 Yrs of Exp · IT/Software Development · Other · Engineering - Other · ERP · Engineering · Computer Science · Software Engineering · System Analysis · Software Development · Software
Reporting and Business Analyst,Chubb life Insurance,"Katameya, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 2 - 5 ,Experienced · 2 - 5 Yrs of Exp · Analyst/Research · Analysis · business · Business Analysis · Data Analysis · SQL · Project Management
Senior Business Analyst,Youxel,"Cairo, Egypt",1 month ago,Full Time,Hybrid,Experienced, 4+ ,Experienced · 4+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Engineering · Software Development · Software · Software Engineering · Computer Science
Sales Analyst,Raw African,"Nasr City, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Analyst/Research · Sales/Retail · Analyst · Sales Analysis · Sales Analyst · Sales · Analysis · sales skills · analytical · business
Data Analyst,Intelligent for field Marketing,"Nasr City, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 0 - 3 ,Experienced · 0 - 3 Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Analyst/Research · Analysis · business · Analyst · Data Analyst · Communication skills · Data · Data Analysis
SOC Analyst,Al Ahly capital holding Al Ahly Tamkeen,"Zamalek, Cairo, Egypt",1 month ago,Full Time,On-site,Entry Level, 1 - 3 ,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · CEH · CIH · Computer Science · Information Technology (IT) · SIEM · Technical Analysis
Cost Analyst,Ostool Transport,"6th of October, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 7 - 10 ,Experienced · 7 - 10 Yrs of Exp · Accounting/Finance · Cost Control · Cost Analysis · Pricing Analyst · Forecasting · Data Analysis · Pricing strategy
Economic research analyst,Confidential,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,Part Time,Experienced, 3+ ,Experienced · 3+ Yrs of Exp · Analyst/Research · Research Analysis · Research Development · Economics · Market Research
Investment And Financial Analyst,Creative Motion,"Maadi, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Financial Analysis · Financial · Financial Modeling · CFA · excel · Accounting · Analysis
Financial Analyst,Global Professional Services GPS,"New Cairo, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 3 - 7 ,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Finance · Analysis
Ads Sales Quality Analyst (QA),Genpact,"New Cairo, Cairo, Egypt",1 month ago,Full Time,On-site,Entry Level, 0 - 3 ,Entry Level · 0 - 3 Yrs of Exp · Business Development · Customer Service/Support · IT/Software Development · Sales · QA
Fraud Analyst,waffarha.com,"Sheraton, Cairo, Egypt",1 month ago,Internship,On-site,Entry Level,"Cairo, Egypt ",Entry Level · Accounting/Finance · Accounting · Business Analysis · Fraud
Central Operations Senior Analyst,Aman,"Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 1 - 3 ,Experienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Analyst/Research · Executive · Market Research · Operations · Financial Data Analysis · Power BI · Microsoft Power BI · Microsoft Office
Accountant Business Analyst,Adamco Pharm,"6th of October, Giza, Egypt",1 month ago,Full Time,On-site,Entry Level, 1 - 4 ,Entry Level · 1 - 4 Yrs of Exp · Accounting/Finance · Finance · Accounting · Accounting Systems · word · excel · MS Office
Technical Analyst,BTC-Egypt Gold,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 1 - 3 ,Experienced · 1 - 3 Yrs of Exp · Analyst/Research · Analysis · analytical · Finance · Forex · technical · Technical Analysis
Business Analyst,Misr Elkheir Foundation,"Mokattam, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 4 - 7 ,Experienced · 4 - 7 Yrs of Exp · Business Development · Project/Program Management · Analyst/Research · Analysis · analytical · BI · business · Information Technology (IT) · Financial Analysis · Data Analysis
"Master Data Section Head (SAP, MM, FI-CO Modules)",Arma-HSA,"New Cairo, Cairo, Egypt",11 days ago,Full Time,On-site,Experienced, 6 - 8 ,Experienced · 6 - 8 Yrs of Exp · R&D/Science · Analyst/Research · SAP · Computer Science · Master Data · business · Management
Business Analyst - Customer Solutions,Fixed Solutions,"Cairo, Egypt",2 months ago,Full Time,Hybrid,Experienced, 3+ ,Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · Information Technology (IT) · Software Development · Data Analysis · Analysis · business · Software
Senior Data Scientist / Data Scientist – Data & AI Practice,BrickRed Technologies,"Cairo, Egypt",13 days ago,Full Time,On-site,Manager, 7 - 10 ,Manager · 7 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · data scientist · Data Science
Pricing Analyst,Target Recruitment  & HR Solutions,"New Cairo, Cairo, Egypt",2 months ago,Full Time,Remote,Experienced, 1 - 2 ,Experienced · 1 - 2 Yrs of Exp · Accounting/Finance · Accounting · Analyst · Commerce · Data Analysis · English · excel · Finance · Microsoft Office · Analysis
Operational Risk Analyst,Sandah for micro finance,"Mohandessin, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 1 - 3 ,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Operations/Management · Analyst/Research · Analysis · Analyst · BI · SQL · Risk Assessment · Risk · Risk Analysis
Senior Data Scientist,DOT Information Technology,"New Cairo, Cairo, Egypt",13 days ago,Full Time,Hybrid,Experienced, 4+ ,Experienced · 4+ Yrs of Exp · IT/Software Development · Analyst/Research · Machine Learning · Information Technology (IT) · Programming · NLP
Financial Analyst,Confidential,"6th of October, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Financial Analysis · Analysis · business · Finance · analytical · Accounting · Communication skills
Senior Data Engineer,Confidential,"New Cairo, Cairo, Egypt",18 days ago,Full Time,On-site,Experienced, 3 - 8 ,Experienced · 3 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Engineering · Data Warehousing · Information Technology (IT) · SQL · Cloudera · Data Analytics · pipline automation
Data Entry Clerk,Confidential,"Shorouk City, Cairo, Egypt",19 days ago,Full Time,On-site,Entry Level, 1 - 3 ,Entry Level · 1 - 3 Yrs of Exp · males_only · Administration · Operations/Management · Analyst/Research · Administration · Communication skills · computer · Data · Data Entry · English · Microsoft Office
Data Entry Clerk,Paramount Acquisition,"Smouha, Alexandria, Egypt",20 days ago,Part Time,Remote,Entry Level,Data Entry,Entry Level · Administration · Writing/Editorial · Analyst/Research · computer · Data Entry · Data · Microsoft Office · Typing · English · Administration
Senior Financial Analyst,Gila Electric,"New Cairo, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Finance · Analyst · financial analyst · Accounting · Commerce · Financial · Financial Analysis
Data Analysis Instructor (Excel - Power BI),EpsilonAI,"Nasr City, Cairo, Egypt",22 days ago,Full Time,Part Time,Entry Level, 1+ ,Entry Level · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL
Quality Assurance Analyst,KTS International,"Heliopolis, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Operations/Management · Quality · Administration · Analysis · English · ISO · Microsoft Office · QA · quality
Senior Data Scientist – Data & AI Practice,BrickRed Technologies,"New Cairo, Cairo, Egypt",24 days ago,Full Time,On-site,Experienced, 8+ ,Experienced · 8+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Intelligence · business intelligence tools · Computer Science · data scientist · Engineering · Data Science · Java
Sales Data Analysis-Alexandria,Egyptian Abrasives Co.,"Alexandria, Egypt",24 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Analyst/Research · Sales/Retail · salesanalysis · Data Analysis · sales skills · analytical · Reporting Analysis
Senior Data Engineer,Erada,"Maadi, Cairo, Egypt",28 days ago,Full Time,On-site,Experienced, 4 - 6 ,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · NoSQL · Python · Java · Programming · Software Development
Financial Analyst,Caduceus Lane,"Hurghada, Red Sea, Egypt",2 months ago,Full Time,On-site,Experienced, 5 - 10 ,Experienced · 5 - 10 Yrs of Exp · Accounting/Finance · Business Development · Analyst/Research · Accounting · Commerce · Corporate Finance · Finance · Financial Analysis · Forecasting · Financial Forecasting
Financial Analyst Specialist,LEONI Wiring System Egypt S.A.E,"Nasr City, Cairo, Egypt",2 months ago,Full Time,On-site,Entry Level, 1 - 3 ,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · business · Accounting · Financial Management · Finance · Financial Analysis · MS Excel · SAP · excel · Communication skills
Export Sales & Research Analyst,Royal Cement,"Sheraton, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3+ ,Experienced · 3+ Yrs of Exp · Analyst/Research · Analysis · Business Administration · Research · Sales · Marketing · Market Research · Logistics · Export · Sales Analysis
Data Scientist,COB Solution,"Maadi, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 4 - 10 ,Experienced · 4 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · data scientist · Engineering · Information Technology (IT) · Statistics · SQL
Workforce Analyst,LG Electronics,"Katameya, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3 - 7 ,Experienced · 3 - 7 Yrs of Exp · males_only · Customer Service/Support · Analyst/Research · Office Management · Computer Skills · Customer Service · Customer Support · Admin · Adminstration · Microsoft Office · Administration
Senior IT Business Analyst,Confidential,"Cairo, Egypt",2 months ago,Full Time,Hybrid,Experienced, 4 - 10 ,Experienced · 4 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software · Business Development
Service Operation Financial Analyst,Electrolux,"Sohag, Egypt",2 months ago,Full Time,Hybrid,Experienced, 3 - 7 ,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Accounting · Communication
Accountant and Reporting Officer,Blue Ventures,"Nasr City, Cairo, Egypt",17 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · trade operation · trade operation analyst · Finance · Investment
Market Research Analyst,Creative Motion,"Maadi, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 5 - 8 ,Experienced · 5 - 8 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Market Analysis · Market Research · Finance · Research · Marketing · Analysis · Real Estate
Data Operations Specialist,Aqarmap.com,"Alexandria, Egypt",1 month ago,Full Time,Shift Based,Entry Level, 1 - 2 ,Entry Level · 1 - 2 Yrs of Exp · Operations/Management · Analyst/Research · Data · Research · Maintenance · troubleshoot · Solutions · google sheets
Market Research Analyst,SolyMaro,"Mohandessin, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 2 - 5 ,Experienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Tourism/Travel · Analysis · E-Marketing · Market Research · Social Media · Statistics · Tourism · Travel
Senior Data Operations,Aqarmap.com,"Alexandria, Egypt",1 month ago,Full Time,Shift Based,Experienced, 2 - 4 ,Experienced · 2 - 4 Yrs of Exp · Operations/Management · Analyst/Research · Operations · Data Management · Management · Data · business · Analysis
Senior Analyst,Evalueserve,"Maadi, Cairo, Egypt",2 months ago,Full Time,Hybrid,Experienced, 2 - 7 ,Experienced · 2 - 7 Yrs of Exp · Analyst/Research · Research · Market Research · Business Research · Secondary Research · Desk Research
Training and Quality Specialist,ADS | Foodhub,"Smart Village, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 1+ ,Experienced · 1+ Yrs of Exp · males_only · Quality · Training/Instructor · Quality Assurance Trainer · Quality Control Trainer · Quality · Training and Development Specialist · Quality Improvement Specialist · Learning and Development (L&D) Coordinator · Quality Assurance Analyst · Corporate Trainer
Business Analyst,Reliance Group,"New Cairo, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3+ ,Experienced · 3+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Analyst · Business Analysis
Capital Market Analyst,A Jess Group,"Maadi, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 5+ ,Experienced · 5+ Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · market · Marketing · Analysis · Communication · Market Research · Statistics
Sales Analyst,BTC-Egypt Gold,"Heliopolis, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 1 - 4 ,Experienced · 1 - 4 Yrs of Exp · Customer Service/Support · Analyst/Research · Sales/Retail · Customer Support · Sales · Analysis · Research Analysis · MS Office · Support Services · Sales Analysis
Data Maintenance Specialist,Aqarmap.com,"Alexandria, Egypt",2 months ago,Full Time,Shift Based,Entry Level, 1 - 2 ,Entry Level · 1 - 2 Yrs of Exp · Operations/Management · Analyst/Research · Data · Research · Maintenance · troubleshoot · Solutions
CB IB Operations & Controls – Regulatory Operations Analyst – Analyst / Associate,Deutsche Bank AG,"Riyadh, Saudi Arabia",1 day ago,Full Time,Not specified,Not specified,"New Cairo, Cairo, Egypt ",Not specified · Operations/Management · Quality · Analyst/Research · quality assurance · quality control · quality · finance · analysis · compliance · management
Senior Power BI Developer,BI-Technologies,"New Cairo, Cairo, Egypt",14 days ago,Full Time,Hybrid,Experienced, 2 - 5 ,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Power BI · SSRS · BI · SQL · Microsoft Power BI · Engineering
Senior Tableau BI Developer,BrickRed Technologies,"New Cairo, Cairo, Egypt",24 days ago,Full Time,On-site,Experienced, 7+ ,Experienced · 7+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Science · Data · Data Analysis · Data Modeling · Data visualization
AI Developer (Python),Ultimate Solutions Egypt,"Sheikh Zayed, Giza, Egypt",19 days ago,Full Time,On-site,Experienced, 2 - 3 ,Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · AWS · Azure · Computer Science · Data Science · Git · Information Technology (IT)
Business Systems Analyst,Saudi Aramco,"Riyadh, Saudi Arabia",10 days ago,Full Time,Not specified,Not specified,"6th of October, Giza, Egypt ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Business Analysis · Computer Science · Analysis · System Analysis · Software Development · Software
Internal Auditor,Ovo Egypt,"6th of October, Giza, Egypt",20 days ago,Full Time,On-site,Experienced, 3 - 6 ,Experienced · 3 - 6 Yrs of Exp · Accounting/Finance · Business Development · Analyst/Research · analytical · Analysis · Business Analysis · Data · Data Analysis · English · Internal Controls
CFO,Alshawamikh- A ResModTec Company,"Maadi, Cairo, Egypt",20 days ago,Full Time,On-site,Senior Management, 15 - 20 ,Senior Management · 15 - 20 Yrs of Exp · Operations/Management · C-Level Executive/GM/Director · CFO · Accounting · Management · Financial Management · Financial Analysis · Financial · Finance · Data Analysis
"Analyst, Business Development",Mastercard Incorporated,"Doha, Qatar",10 days ago,Full Time,Not specified,Not specified,"New Cairo, Cairo, Egypt ",Not specified · Business Development · IT/Software Development · Sales/Retail · Business Development · Sales · Sales Skills · Sales Target · Marketing · Information Technology (IT) · Business Analysis
Informatica Metadata Developer,BrickRed Technologies,"New Cairo, Cairo, Egypt",24 days ago,Full Time,On-site,Experienced, 3 - 8 ,Experienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Informatica · Information Technology (IT) · Software Engineering · Metadata · ETL · Computer Science · Data Warehousing · SQL
CFO/finance manager,Confidential,"Zamalek, Cairo, Egypt",27 days ago,Full Time,On-site,Senior Management, 7+ ,Senior Management · 7+ Yrs of Exp · Accounting/Finance · Operations/Management · C-Level Executive/GM/Director · Accounting · Corporate · CFO · Data Analysis · Finance · Financial Analysis · Financial Management
Data Science Engineer (Java Stack),ARPUPLUS,"Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 2 - 4 ,Experienced · 2 - 4 Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · Java · Computer Science
Market Researcher,National Paints,"Obour City, Cairo, Egypt",2 months ago,Full Time,On-site,Entry Level, 1 - 2 ,Entry Level · 1 - 2 Yrs of Exp · males_preferred · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Communication · E-Marketing · Marketing · SEO · Skills · Social Media · Sales
"Software Developer (C#, HTML & Typescript)",BI-Technologies,"New Cairo, Cairo, Egypt",1 month ago,Full Time,Hybrid,Entry Level, 1 - 3 ,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · ASP.NET · Software Development · .NET · Information Technology (IT) · Full Stack · Computer Science · Computer Engineering · Database Design · Data Modeling
CFO,Segment interior design,"Sheraton, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 7 - 9 ,Experienced · 7 - 9 Yrs of Exp · Accounting/Finance · Operations/Management · C-Level Executive/GM/Director · Accounting · CFO · Corporate · Finance · Financial Analysis · Financial Management · Management
International Grants -Senior Officer,Misr Elkheir Foundation,"Mokattam, Cairo, Egypt",1 month ago,Full Time,On-site,Manager, 6 - 8 ,Manager · 6 - 8 Yrs of Exp · Administration · Writing/Editorial · Analyst/Research · grant Management · Data Analysis · Microsoft Office · International Relations · Business Development · Project Management
Quality Data Analysis Engineer,Sumitomo Electric Egypt,"6th of October, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 1 - 2 ,Experienced · 1 - 2 Yrs of Exp · Quality · Analyst/Research · Engineering - Mechanical/Electrical · SQL · Data Analysis · quality · Engineering
AI Engineer,Confidential,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,Part Time,Entry Level, 1 - 3 ,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · AI · Analysis · Algorithms · Computer Science · Data Analysis · Data · Development · Engineering
Operational Excellence Specialist,Ovo Egypt,"6th of October, Giza, Egypt",1 month ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Operations/Management · Manufacturing/Production · Analyst/Research · PMP · Engineering · LEAN · Data · Management · Six Sigma · Operations
Virtual Assistant/Project Coordinator - AI & Digital Services Focus,Profitable Sites Ltd,"Dahab, South Sinai, Egypt",16 days ago,Full Time,Hybrid,Manager, 5 - 10 ,Manager · 5 - 10 Yrs of Exp · Administration · Marketing/PR/Advertising · AI · Google Ads · Project Management · Assistant · Project coordinator · Business Administration · Admin Assistant · google workspace
Food & Beverage cost control supervisor,Willow's Egypt,"Sheikh Zayed, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 4 - 5 ,Experienced · 4 - 5 Yrs of Exp · Accounting/Finance · accountant · Accounting · Analyst · business · Cost Control · Finance · Financial · Food &amp; Beverage · Cost
Data Engineer-,Master-Works,"Riyadh, Saudi Arabia",10 days ago,Full Time,Not specified,Not specified,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL
Data Scientist,Unlimiteck,"Riyadh, Saudi Arabia",1 day ago,Full Time,Not specified,Not specified,Data Science,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
